rotation, time
Core Cleave, Time: 93.237s
Bleeding Edge, Time: 93.877s
Zealot's Flame, Time: 94.357s
Searing Slash, Time: 94.557s
Blazing Edge, Time: 95.197s
Glacial Heart, Time: 95.677s
Zealot's Fire, Time: 95.717s
Flame Rush, Time: 96.197s
Core Cleave, Time: 96.477s
Bleeding Edge, Time: 97.117s
Searing Slash, Time: 97.797s
Core Cleave, Time: 98.437s
Bleeding Edge, Time: 99.081s
Searing Slash, Time: 99.757s
Symbol of Vengeance, Time: 100.401s
Zealot's Flame, Time: 100.997s
Zealot's Fire, Time: 101.197s
Core Cleave, Time: 101.877s
Bleeding Edge, Time: 102.517s
Flame Rush, Time: 102.597s
Searing Slash, Time: 103.197s
Core Cleave, Time: 103.841s
Bleeding Edge, Time: 104.477s
Zealot's Flame, Time: 105.081s
Searing Slash, Time: 105.157s
Zealot's Fire, Time: 105.801s
Purging Flames, Time: 106.477s
Tome of Justice, Time: 106.516s
Chapter 4: Scorched Aftermath, Time: 106.801s
Epilogue: Ashes of the Just, Time: 107.717s
Chapter 2: Igniting Burst, Time: 108.601s
Weapon Swap, Time: 108.877s
Symbol of Vengeance, Time: 109.197s
Blazing Edge, Time: 110.001s
Flame Rush, Time: 110.44s
Glacial Heart, Time: 110.48s
Core Cleave, Time: 110.56s
Zealot's Flame, Time: 110.8s
Bleeding Edge, Time: 111.196s
Searing Slash, Time: 111.88s
Zealot's Fire, Time: 112.516s
Core Cleave, Time: 113.196s
Bleeding Edge, Time: 113.837s
Searing Slash, Time: 114.521s
Zealot's Flame, Time: 115.157s
Core Cleave, Time: 115.401s
Bleeding Edge, Time: 116.037s
Searing Slash, Time: 116.717s
Zealot's Fire, Time: 117.361s
Symbol of Vengeance, Time: 118.037s
Flame Rush, Time: 118.481s
Core Cleave, Time: 119.036s
Bleeding Edge, Time: 119.676s
Searing Slash, Time: 120.36s
Blazing Edge, Time: 121s
Zealot's Flame, Time: 121.32s
Glacial Heart, Time: 121.48s
Zealot's Fire, Time: 121.52s
Tome of Justice, Time: 121.879s
Chapter 2: Igniting Burst, Time: 122.2s
Chapter 4: Scorched Aftermath, Time: 122.88s
Purging Flames, Time: 123.8s
Epilogue: Ashes of the Just, Time: 124.76s
Weapon Swap, Time: 125.2s
Zealot's Flame, Time: 125.324s
Zealot's Fire, Time: 125.64s
Symbol of Vengeance, Time: 126.32s
Flame Rush, Time: 126.68s
Core Cleave, Time: 127.12s
Bleeding Edge, Time: 127.76s
Searing Slash, Time: 128.44s
Core Cleave, Time: 129.08s
Bleeding Edge, Time: 129.72s
Searing Slash, Time: 130.4s
Tome of Justice, Time: 131.119s
Chapter 2: Igniting Burst, Time: 131.32s
Weapon Swap, Time: 131.84s
Core Cleave, Time: 132.04s
Zealot's Flame, Time: 132.24s
Zealot's Fire, Time: 132.8s
Flame Rush, Time: 133.4s
Blazing Edge, Time: 133.48s
Glacial Heart, Time: 133.96s
Symbol of Vengeance, Time: 134s
Core Cleave, Time: 134.8s
Bleeding Edge, Time: 135.44s
Zealot's Flame, Time: 135.68s
Searing Slash, Time: 136.12s
Zealot's Fire, Time: 136.76s
Core Cleave, Time: 137.44s
Bleeding Edge, Time: 138.08s
Searing Slash, Time: 138.76s
Core Cleave, Time: 139.4s
Bleeding Edge, Time: 140.04s
Searing Slash, Time: 140.72s
Purging Flames, Time: 141.52s
Symbol of Vengeance, Time: 141.84s
Zealot's Flame, Time: 142.28s
Zealot's Fire, Time: 142.64s
Tome of Justice, Time: 142.679s
Epilogue: Ashes of the Just, Time: 143.32s
Chapter 4: Scorched Aftermath, Time: 144.2s
Flame Rush, Time: 144.24s
Chapter 2: Igniting Burst, Time: 145.12s
Weapon Swap, Time: 145.24s
Core Cleave, Time: 145.96s
Zealot's Flame, Time: 146.321s
Bleeding Edge, Time: 146.6s
Searing Slash, Time: 147.28s
Zealot's Fire, Time: 147.92s
Blazing Edge, Time: 148.6s
Flame Rush, Time: 148.84s
Glacial Heart, Time: 149.08s
Symbol of Vengeance, Time: 149.12s
Core Cleave, Time: 149.96s
