rotation, time
Core Cleave, Time: 37.84s
Bleeding Edge, Time: 38.48s
Searing Slash, Time: 39.168s
Flame Rush, Time: 39.2s
Core Cleave, Time: 39.808s
Zealot's Flame, Time: 40.24s
Bleeding Edge, Time: 40.448s
Zealot's Flame, Time: 40.928s
Searing Slash, Time: 41.12s
Symbol of Vengeance, Time: 41.888s
Glacial Heart, Time: 42.56s
Zealot's Fire, Time: 42.688s
Zealot's Fire, Time: 43.36s
Tome of Justice, Time: 43.519s
Weapon Swap, Time: 43.52s
Chapter 2: Igniting Burst, Time: 44.048s
Weapon Swap, Time: 44.288s
Core Cleave, Time: 44.64s
Bleeding Edge, Time: 45.28s
Searing Slash, Time: 45.968s
Core Cleave, Time: 46.608s
Flame Rush, Time: 46.72s
Bleeding Edge, Time: 47.248s
Searing Slash, Time: 47.92s
Core Cleave, Time: 48.56s
Bleeding Edge, Time: 49.2s
Searing Slash, Time: 49.888s
Symbol of Vengeance, Time: 50.608s
Zealot's Flame, Time: 50.88s
Zealot's Flame, Time: 51.296s
Glacial Heart, Time: 51.296s
Blazing Edge, Time: 51.408s
Tome of Justice, Time: 51.839s
Weapon Swap, Time: 51.84s
Glacial Heart, Time: 51.888s
Purging Flames, Time: 51.92s
Epilogue: Ashes of the Just, Time: 52.24s
Chapter 4: Scorched Aftermath, Time: 53.12s
Chapter 2: Igniting Burst, Time: 54.048s
Weapon Swap, Time: 54.16s
Zealot's Fire, Time: 54.64s
Flame Rush, Time: 54.688s
Zealot's Fire, Time: 55.328s
Core Cleave, Time: 56s
Bleeding Edge, Time: 56.64s
Searing Slash, Time: 57.328s
Symbol of Vengeance, Time: 58.048s
Glacial Heart, Time: 58.72s
Core Cleave, Time: 58.848s
Bleeding Edge, Time: 59.488s
Searing Slash, Time: 60.16s
Core Cleave, Time: 60.8s
Zealot's Flame, Time: 60.96s
Zealot's Flame, Time: 61.408s
Bleeding Edge, Time: 61.44s
Searing Slash, Time: 62.128s
Flame Rush, Time: 62.16s
Blazing Edge, Time: 62.88s
Glacial Heart, Time: 63.36s
Zealot's Fire, Time: 63.408s
Zealot's Fire, Time: 64.08s
Core Cleave, Time: 64.768s
Bleeding Edge, Time: 65.408s
Searing Slash, Time: 66.08s
Symbol of Vengeance, Time: 66.768s
Tome of Justice, Time: 67.167s
Weapon Swap, Time: 67.168s
Glacial Heart, Time: 67.44s
Chapter 2: Igniting Burst, Time: 67.568s
Chapter 4: Scorched Aftermath, Time: 68.16s
Purging Flames, Time: 69.088s
Epilogue: Ashes of the Just, Time: 69.408s
Weapon Swap, Time: 69.76s
Flame Rush, Time: 69.968s
Core Cleave, Time: 70.288s
Zealot's Flame, Time: 70.88s
Bleeding Edge, Time: 71.04s
Zealot's Flame, Time: 71.68s
Searing Slash, Time: 71.728s
Core Cleave, Time: 72.368s
Bleeding Edge, Time: 73.008s
Searing Slash, Time: 73.68s
Zealot's Fire, Time: 74.48s
Zealot's Fire, Time: 75.168s
Symbol of Vengeance, Time: 75.84s
Glacial Heart, Time: 76.528s
Blazing Edge, Time: 76.64s
Tome of Justice, Time: 76.847s
Weapon Swap, Time: 76.848s
Glacial Heart, Time: 77.136s
Chapter 2: Igniting Burst, Time: 77.168s
Weapon Swap, Time: 77.6s
Core Cleave, Time: 77.76s
Flame Rush, Time: 78.08s
Bleeding Edge, Time: 78.4s
Searing Slash, Time: 79.088s
Core Cleave, Time: 79.728s
Bleeding Edge, Time: 80.368s
Searing Slash, Time: 81.04s
Zealot's Flame, Time: 81.28s
Core Cleave, Time: 81.68s
Zealot's Flame, Time: 82.048s
Bleeding Edge, Time: 82.32s
Searing Slash, Time: 83.008s
Symbol of Vengeance, Time: 83.76s
Glacial Heart, Time: 84.448s
Zealot's Fire, Time: 84.56s
Zealot's Fire, Time: 85.248s
Tome of Justice, Time: 85.487s
Weapon Swap, Time: 85.488s
Purging Flames, Time: 85.92s
Epilogue: Ashes of the Just, Time: 86.48s
Flame Rush, Time: 87.168s
Chapter 4: Scorched Aftermath, Time: 87.36s
Weapon Swap, Time: 87.808s
Core Cleave, Time: 88.288s
Bleeding Edge, Time: 88.928s
Searing Slash, Time: 89.6s
Core Cleave, Time: 90.24s
Bleeding Edge, Time: 90.88s
Zealot's Flame, Time: 91.28s
Searing Slash, Time: 91.568s
Zealot's Flame, Time: 92.208s
Symbol of Vengeance, Time: 92.32s
Glacial Heart, Time: 93.008s
Blazing Edge, Time: 93.12s
Glacial Heart, Time: 93.6s
Zealot's Fire, Time: 93.648s
Flame Rush, Time: 93.84s
Zealot's Fire, Time: 94.32s
Flame Surge, Time: 94.768s
Core Cleave, Time: 95.008s
Bleeding Edge, Time: 95.648s
Searing Slash, Time: 96.32s
Core Cleave, Time: 96.96s
Bleeding Edge, Time: 97.6s
Searing Slash, Time: 98.288s
Core Cleave, Time: 98.928s
Bleeding Edge, Time: 99.568s
Searing Slash, Time: 100.24s
Symbol of Vengeance, Time: 101.04s
Zealot's Flame, Time: 101.36s
Tome of Justice, Time: 101.696s
Weapon Swap, Time: 101.697s
Glacial Heart, Time: 101.728s
Chapter 2: Igniting Burst, Time: 101.888s
Zealot's Flame, Time: 102.448s
Chapter 4: Scorched Aftermath, Time: 102.48s
Purging Flames, Time: 103.408s
Epilogue: Ashes of the Just, Time: 103.728s
Weapon Swap, Time: 104.08s
Zealot's Fire, Time: 104.608s
Zealot's Fire, Time: 105.28s
Blazing Edge, Time: 105.968s
Glacial Heart, Time: 106.448s
Core Cleave, Time: 106.496s
Bleeding Edge, Time: 107.12s
Searing Slash, Time: 107.808s
Symbol of Vengeance, Time: 108.608s
Glacial Heart, Time: 109.28s
Core Cleave, Time: 109.408s
Bleeding Edge, Time: 110.048s
Searing Slash, Time: 110.72s
Core Cleave, Time: 111.376s
Bleeding Edge, Time: 112s
Zealot's Flame, Time: 112.496s
Searing Slash, Time: 112.688s
Zealot's Fire, Time: 113.36s
